type,unixTimestamp,sensorTimestamp,Gx,Gy,Gz
ACCELEROMETER,827,443107217741154,0.059855044,0.0,9.880871
ACCELEROMETER,842,443107227811954,-0.01436521,0.045489833,9.904813
ACCELEROMETER,847,443107237882755,-0.01436521,0.01436521,9.847352
ACCELEROMETER,857,443107247923038,0.01436521,0.009576807,9.91439
ACCELEROMETER,870,443107257963322,-0.055066638,0.0023942017,9.864111
ACCELEROMETER,879,443107268003605,-0.04309563,0.01436521,9.928755
ACCELEROMETER,891,443107278104923,-0.0047884034,0.079008654,9.921572
ACCELEROMETER,897,443107288145206,-0.047884032,0.047884032,9.864111
ACCELEROMETER,909,443107298216007,-0.023942016,-0.045489833,9.931149
ACCELEROMETER,920,443107308256290,-0.047884032,0.038307227,9.878476
ACCELEROMETER,932,443107318357609,0.04070143,-0.01436521,9.921572
ACCELEROMETER,937,443107328397892,0.06943185,-0.031124622,9.854534
ACCELEROMETER,949,443107338438175,-0.08379706,-0.009576807,9.883265
ACCELEROMETER,959,443107348478458,-0.05267244,0.01436521,9.892841
ACCELEROMETER,969,443107358549259,-0.019153614,0.079008654,9.856929
ACCELEROMETER,978,443107368589542,-0.01436521,-0.021547815,9.828198
ACCELEROMETER,988,443107378660343,-0.035913024,0.045489833,9.849746
ACCELEROMETER,1000,443107388700626,0.0,-0.06703765,9.890448
ACCELEROMETER,1008,443107398771427,-0.009576807,0.033518825,9.909601
ACCELEROMETER,1022,443107408811710,0.038307227,0.02873042,9.921572
ACCELEROMETER,1030,443107418913029,-0.031124622,-0.033518825,9.916783
ACCELEROMETER,1040,443107428953312,-0.033518825,-0.038307227,9.873688
ACCELEROMETER,1051,443107439054630,0.023942016,0.035913024,9.880871
